"date" "close" "volume" "open" "high" "low"
"2018/12/31" "158.6000" "2485471.0000" "163.8000" "164.4000" "157.5200"
"2018/12/28" "162.1700" "2147294.0000" "162.0300" "164.6050" "160.6000"
"2018/12/27" "161.5800" "2637025.0000" "160.5400" "161.9500" "156.0400"
"2018/12/26" "163.0400" "2666330.0000" "158.3200" "163.1700" "154.6100"
"2018/12/24" "157.1200" "2354022.0000" "155.2900" "161.4800" "155.2500"
"2018/12/21" "157.4200" "4933852.0000" "162.2900" "162.7700" "156.2500"
"2018/12/20" "160.3600" "4151188.0000" "160.8600" "164.5900" "159.8310"
"2018/12/19" "162.4800" "3968143.0000" "167.9400" "169.1400" "160.0000"
"2018/12/18" "167.6100" "2938266.0000" "173.1200" "173.2900" "167.2100"
"2018/12/17" "169.8600" "4174384.0000" "176.5800" "176.7800" "167.5300"
"2018/12/14" "177.5400" "2074884.0000" "177.7000" "180.5100" "176.4800"
"2018/12/13" "179.9000" "1795384.0000" "182.3900" "183.1000" "179.1700"
"2018/12/12" "179.7500" "2782054.0000" "180.5000" "182.9500" "179.3000"
"2018/12/11" "176.8500" "3128124.0000" "181.8400" "182.1000" "176.0100"
"2018/12/10" "179.2000" "1939824.0000" "178.2600" "181.5500" "174.2500"
"2018/12/07" "179.5600" "2852213.0000" "180.1100" "185.1500" "178.6200"
"2018/12/06" "180.7000" "4344865.0000" "176.0100" "183.4900" "174.6600"
"2018/12/04" "182.6600" "4590765.0000" "192.3700" "193.5000" "180.0000"
"2018/12/03" "191.3300" "3628593.0000" "196.0000" "196.0000" "189.2100"
"2018/11/30" "188.2800" "2936647.0000" "183.0400" "189.5900" "182.3800"
"2018/11/29" "183.2200" "3404255.0000" "186.5000" "187.4900" "182.4450"
"2018/11/28" "188.4400" "3333941.0000" "185.8000" "188.5000" "181.7483"
"2018/11/27" "182.7900" "2683350.0000" "183.6000" "185.2500" "181.1100"
"2018/11/26" "185.1900" "1858371.0000" "186.2600" "186.8700" "183.8300"
"2018/11/23" "182.6100" "1266331.0000" "181.3800" "183.3100" "181.0000"
"2018/11/21" "183.9500" "2702981.0000" "180.0200" "186.2700" "179.5227"
"2018/11/20" "177.4800" "3483501.0000" "177.6000" "179.9600" "175.3200"
"2018/11/19" "183.0900" "2663320.0000" "185.8600" "186.9600" "181.8900"
"2018/11/16" "186.9500" "1623024.0000" "187.0700" "188.0000" "183.5900"
"2018/11/15" "188.4100" "2220654.0000" "186.8000" "188.5000" "185.3700"
"2018/11/14" "185.0600" "2429807.0000" "185.5000" "186.9800" "181.6700"
"2018/11/13" "183.3400" "2968401.0000" "182.3900" "185.4100" "180.2274"
"2018/11/12" "180.4300" "2277050.0000" "183.4700" "183.5700" "178.8900"
"2018/11/09" "183.7500" "2926685.0000" "184.4800" "186.2500" "181.6500"
"2018/11/08" "188.5500" "2474445.0000" "193.7000" "195.7500" "187.9800"
